"ORDERNUMBER","QUANTITYORDERED","PRICEEACH","ORDERLINENUMBER","SALES","ORDERDATE","STATUS","QTR_ID","MONTH_ID","YEAR_ID","PRODUCTLINE","MSRP","PRODUCTCODE","CUSTOMERNAME","PHONE","ADDRESSLINE1","ADDRESSLINE2","CITY","STATE","POSTALCODE","COUNTRY","TERRITORY","CONTACTLASTNAME","CONTACTFIRSTNAME","DEALSIZE"
10003,16,81.08,1,1297.24,"01/17/2015 00:00","Cancelled",1,1,2015,"Motorcycles",121.4,"S10_4698","Blauer See Auto, Co.","8449173427","6714 Pine Rd","","San Diego","TX","25040","Singapore","EMEA","Brown","John","Medium"
10003,57,44.27,2,2523.54,"09/06/2015 00:00","Shipped",3,9,2015,"Trucks and Buses",103.4,"S700_2610","FunGiftIdeas.com","6246687835","386 Cedar Ln","","Los Angeles","CA","82964","Belgium",NA,"Martinez","Tom","Small"
10003,10,63.56,3,635.61,"05/11/2015 00:00","Disputed",2,5,2015,"Planes",50.1,"S18_1984","Men 'R' US Retailers, Ltd.","2425731550","2534 Cedar Ln","","Chicago","AZ","25570","Belgium","EMEA","Johnson","Sarah","Small"
10003,12,75.11,4,901.31,"11/06/2015 00:00","Disputed",4,11,2015,"Planes",100.9,"S18_2957","West Coast Collectables Co.","1687923080","2199 Oak Ave","","New York","CA","79263","Philippines","Japan","Rodriguez","Sarah","Large"
10003,89,84.7,5,7538.59,"09/10/2015 00:00","On Hold",3,9,2015,"Trucks and Buses",207.2,"S24_1785","Vitachrome Inc.","6263966448","2606 Oak Ave","","New York","CA","16950","Germany","Japan","Johnson","Chris","Medium"
10005,23,87.92,1,2022.22,"01/05/2015 00:00","On Hold",1,1,2015,"Ships",137.9,"S24_3856","Muscle Machine Inc","4147066136","5171 Main St","","Philadelphia","AZ","27934","Singapore",NA,"Brown","Sarah","Large"
10005,22,39.16,2,861.45,"07/25/2015 00:00","In Process",3,7,2015,"Trains",157.8,"S12_3148","Mini Wheels Co.","2222749931","8405 Oak Ave","","Chicago","TX","90650","USA","EMEA","Miller","John","Medium"
10005,49,47.24,3,2314.99,"08/05/2015 00:00","Disputed",3,8,2015,"Classic Cars",155.9,"S24_3969","Microscale Inc.","4077763886","9346 Cedar Ln","","Los Angeles","CA","92442","Canada","Japan","Johnson","David","Large"
10006,65,60.86,1,3955.66,"01/07/2015 00:00","Disputed",1,1,2015,"Classic Cars",187.5,"S50_1392","Saveley & Henriot, Co.","7592623285","5892 Oak Ave","","Houston","CA","64660","Sweden","Japan","Rodriguez","David","Medium"
10006,30,77.87,2,2336.16,"04/27/2015 00:00","Resolved",2,4,2015,"Trains",103.3,"S24_2000","L'ordine Souveniers","5469205806","5687 Oak Ave","","New York","NY","76700","Italy","EMEA","Jones","John","Medium"
10006,54,57.73,3,3117.17,"01/24/2015 00:00","Cancelled",1,1,2015,"Trucks and Buses",138.9,"S18_3278","Tekni Collectables Inc.","3335213111","6323 Pine Rd","","Houston","IL","25702","Switzerland","EMEA","Martinez","Lisa","Small"
10007,71,66.4,1,4714.66,"10/19/2015 00:00","Disputed",4,10,2015,"Ships",65.9,"S18_4668","La Rochelle Gifts","4734146343","1968 Pine Rd","","San Jose","IL","25673","UK","APAC","Garcia","Sarah","Small"
10007,26,33.13,2,861.38,"11/12/2015 00:00","On Hold",4,11,2015,"Planes",60.6,"S24_1444","Gifts4AllAges.com","8849926576","3413 Oak Ave","","Houston","CA","96480","Denmark","EMEA","Jones","Tom","Medium"
10011,78,82.65,1,6446.43,"10/03/2015 00:00","On Hold",4,10,2015,"Classic Cars",202.5,"S24_1937","FunGiftIdeas.com","5534922511","2156 Oak Ave","","Phoenix","CA","91827","Japan","EMEA","Smith","Emma","Large"
10011,89,72.23,2,6428.87,"03/23/2015 00:00","Shipped",1,3,2015,"Planes",163.3,"S18_1342","Cambridge Collectables Co.","7687038550","3482 Oak Ave","","Houston","CA","35200","Spain","APAC","Williams","Mike","Large"
10012,87,48.82,1,4247.05,"06/12/2015 00:00","In Process",2,6,2015,"Planes",126.9,"S18_1984","Cambridge Collectables Co.","7968554462","1901 Elm St","","New York","AZ","18653","UK",NA,"Rodriguez","Emma","Large"
10012,57,96.37,2,5493.26,"05/11/2015 00:00","Resolved",2,5,2015,"Motorcycles",116.4,"S12_3148","Toys of Finland, Co.","5355272429","3727 Main St","","Dallas","IL","74089","Finland","EMEA","Williams","Tom","Large"
10012,6,50,3,299.97,"12/29/2015 00:00","Resolved",4,12,2015,"Trains",132.3,"S18_2238","Euro Shopping Channel","1027594687","3768 Pine Rd","","Chicago","CA","50126","Canada","EMEA","Martinez","John","Small"
